Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products/173882,1,0,25.82888799997818,25.82888799997818,25.82888799997818,25.82888799997818,117.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/174032,1,0,29.755351999938284,29.755351999938284,29.755351999938284,29.755351999938284,129.0,0.0035232410796598814,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/products/174521,5,0,30,29.20746159998089,24.599453000064386,35.328649999883055,119.0,0.017616205398299407,0.0,30,30,30,35,35,35,35,35,35,35,35
GET,/products/175686,1,0,24.578536999797507,24.578536999797507,24.578536999797507,24.578536999797507,127.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/17751,1,0,29.25519100017482,29.25519100017482,29.25519100017482,29.25519100017482,118.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/17760,1,0,28.836060999992696,28.836060999992696,28.836060999992696,28.836060999992696,125.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/products/177875,2,0,32.498897000095894,33.7307850002162,32.498897000095894,34.96267300033651,127.0,0.007046482159319763,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/products/178225,3,0,27,27.300066333585466,24.872230000255513,29.9618450003436,129.0,0.010569723238979645,0.0,27,27,30,30,30,30,30,30,30,30,30
GET,/products/178990,1,0,24.59606399997938,24.59606399997938,24.59606399997938,24.59606399997938,126.0,0.0035232410796598814,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/products/179010,1,0,24.155939999673137,24.155939999673137,24.155939999673137,24.155939999673137,127.0,0.0035232410796598814,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/products/17950,1,0,26.32283999992069,26.32283999992069,26.32283999992069,26.32283999992069,117.0,0.0035232410796598814,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/products/18029,1,0,32.2432990001289,32.2432990001289,32.2432990001289,32.2432990001289,127.0,0.0035232410796598814,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/products/180992,2,0,25,26.2925050000149,24.916390000043975,27.668619999985822,119.0,0.007046482159319763,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/products/181460,1,0,29.24064199987697,29.24064199987697,29.24064199987697,29.24064199987697,119.0,0.0035232410796598814,0.0,29,29,29,29,29,29,29,29,29,29,29
